run,seed,rep,accuracy,case
1,0,1,0.9745,B
2,0,2,0.9745,B
3,0,3,0.9745,B
4,0,4,0.9745,B
5,0,5,0.9745,B
6,0,6,0.9745,B
7,7,1,0.9747,B
8,7,2,0.9747,B
9,7,3,0.9747,B
10,7,4,0.9747,B
11,7,5,0.9747,B
12,7,6,0.9747,B
13,42,1,0.9759,B
14,42,2,0.9759,B
15,42,3,0.9759,B
16,42,4,0.9759,B
17,42,5,0.9759,B
18,42,6,0.9759,B
19,123,1,0.9755,B
20,123,2,0.9755,B
21,123,3,0.9755,B
22,123,4,0.9755,B
23,123,5,0.9755,B
24,123,6,0.9755,B
25,999,1,0.9711,B
26,999,2,0.9711,B
27,999,3,0.9711,B
28,999,4,0.9711,B
29,999,5,0.9711,B
30,999,6,0.9711,B
